Title,Facing,Floor,Bedroom,Bathroom,Location_area,Location_district,Price_in_cr,Land_area_aana,Price_per_aana,Road_access_ft,Built_year_bs,Has_parking,Amenity_count
House for sale,South,2.5,5,3,Kalanki,Kathmandu,2.3,3.0,0.7666666666666666,10.0,2069,1,0
House for sale,North,2.5,4,4,Pepsicola,Kathmandu,3.4,3.1,1.096774193548387,20.0,2070,1,2
House for sale,East,3.0,3,3,Satungal,Kathmandu,1.5,2.2,0.6818181818181818,4.0,2072,1,0
House for sale,South-West,3.5,6,4,Baneshwor,Kathmandu,3.8,3.0,1.2666666666666666,20.0,2072,1,4
House for sale,North-West,2.5,10,4,Kapan,Kathmandu,3.5,6.0,0.5833333333333334,11.0,2069,1,0
House for sale,South,2.5,6,5,Mandikhatar,Kathmandu,3.75,4.0,0.9375,13.0,2069,1,0
House for sale,North,3.0,8,5,Tikathali,Lalitpur,4.25,4.2,1.0119047619047619,13.0,2079,1,0
House for sale,North,2.5,5,4,Imadol,Lalitpur,3.45,4.1,0.8414634146341464,13.0,2079,1,0
House for sale,North,3.5,5,5,Imadol,Lalitpur,2.65,3.0,0.8833333333333333,13.0,2076,1,0
House for sale,South,3.0,5,4,Imadol,Lalitpur,3.15,3.1,1.0161290322580645,13.0,2073,1,0
House for sale,South,2.5,5,4,Tikathali,Lalitpur,3.75,3.3,1.1363636363636365,13.0,2076,1,0
House for sale,South,2.5,4,4,Nakhipot,Lalitpur,2.7,3.2,0.84375,15.0,2072,1,1
House for sale,East,2.5,5,4,Buddha Chowk,Kathmandu,3.9,5.2,0.75,13.0,2072,1,0
House for sale,West,2.5,6,4,New Buspark,Kathmandu,4.0,6.0,0.6666666666666666,4.0,2073,0,0
House for sale,South,2.5,5,3,Chhauni,Kathmandu,3.5,3.2,1.09375,13.0,2074,1,0
House for sale,North,2.5,5,2,Balkot,Bhaktapur,4.5,9.0,0.5,26.0,2076,1,1
Bungalow for sale,South,2.5,5,5,Bansbari,Kathmandu,5.1,4.2,1.2142857142857142,12.0,2070,1,2
House for sale,North,2.5,5,2,Naya Basti,Kathmandu,2.6,3.2,0.8125,10.0,2079,1,0
House for sale,North,2.5,5,3,Dhapasi,Kathmandu,2.7,3.0,0.9,13.0,2072,1,0
House for sale,North,1.5,3,2,Megha City,Kathmandu,1.2,3.2,0.37499999999999994,13.0,2074,1,0
House for sale,East,3.0,7,5,Imadol,Lalitpur,3.85,5.2,0.7403846153846154,18.0,2076,1,4
House for sale,South,2.5,4,5,Bansbari,Kathmandu,5.2,4.3,1.2093023255813955,12.0,2076,1,2
House for sale,South,2.5,2,3,Thaiba,Lalitpur,2.6,4.1,0.6341463414634148,13.0,2073,1,0
House for sale,South,3.5,5,4,Imadol,Lalitpur,2.4,2.3,1.0434782608695652,13.0,2070,1,0
House for sale,East,3.5,5,3,Imadol,Lalitpur,3.1,3.2,0.96875,13.0,2065,1,0
House for sale,North,2.5,6,3,Imadol,Lalitpur,2.55,3.0,0.85,13.0,2066,1,0
House for sale,East,2.5,4,3,Bojepokhari,Lalitpur,2.85,3.2,0.890625,12.0,2072,1,0
House for sale,North,2.5,4,4,Sunakothi,Lalitpur,5.15,7.0,0.7357142857142858,20.0,2072,1,0
House for sale,East,2.5,5,5,Sampang Chowk,Lalitpur,2.2,3.0,0.7333333333333334,16.5,2070,1,0
House for sale,South-West,2.5,7,3,Baniyatar,Kathmandu,2.7,3.3,0.8181818181818182,13.0,2070,1,0
House for sale,North,2.5,6,5,Kapan,Kathmandu,2.95,3.2,0.921875,13.0,2074,1,0
House for sale,North,2.5,6,3,Budhanilkantha,Kathmandu,2.8,3.0,0.9333333333333332,13.0,2076,1,0
Bungalow for sale,North,2.5,4,3,Boharatar,Kathmandu,5.75,9.1,0.6318681318681318,15.0,2076,1,1
House for sale,West,2.0,6,3,Godawari,Lalitpur,1.75,3.1,0.564516129032258,11.0,2072,1,0
House for sale,South,2.5,5,5,Budhanilkantha,Kathmandu,2.88,3.2,0.8999999999999999,10.0,2079,1,0
House for sale,North-East,2.5,6,4,Dhapakhel,Lalitpur,2.75,9.0,0.3055555555555556,4.0,2072,1,2
House for sale,East,2.5,5,4,Kalanki,Kathmandu,2.35,3.1,0.7580645161290323,13.0,2069,1,0
House for sale,South-East,3.5,4,2,Boudha,Kathmandu,2.5,4.0,0.625,8.0,2069,1,0
House for sale,East,2.5,4,2,Dhapasi,Kathmandu,5.1,6.0,0.85,20.0,2079,1,2
House for sale,North-West,2.5,5,5,Sanepa,Lalitpur,6.35,6.7,0.9477611940298507,14.0,2079,0,4
